Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Dataset
Logistic Regression,0.8689,0.8125,0.9286,0.8667,0.9513,Heart Disease
Random Forest,0.918,0.871,0.9643,0.9153,0.9535,Heart Disease
XGBoost,0.8852,0.8182,0.9643,0.8852,0.947,Heart Disease
Deep Learning,0.8525,0.8276,0.8571,0.8421,0.9524,Heart Disease
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.812962962962963,Diabetes
Random Forest,0.7792207792207793,0.7272727272727273,0.5925925925925926,0.6530612244897959,0.8191666666666666,Diabetes
XGBoost,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263,0.8081481481481482,Diabetes
Deep Learning,0.7467532467532467,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.8175925925925925,Diabetes
Logistic Regression,0.9649122807017544,0.975,0.9285714285714286,0.951219512195122,0.996031746031746,Breast Cancer
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629628,0.9928902116402116,Breast Cancer
XGBoost,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629628,0.9940476190476192,Breast Cancer
Deep Learning,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629628,0.9957010582010584,Breast Cancer
